Name,MapDate,DSCI
High Plains,20090217,38
High Plains,20090224,40
High Plains,20090303,50
High Plains,20090310,49
High Plains,20090317,51
High Plains,20090324,53
High Plains,20090331,48
High Plains,20090407,40
High Plains,20090414,36
High Plains,20090421,23
High Plains,20090428,26
High Plains,20090505,20
High Plains,20090512,16
High Plains,20090519,20
High Plains,20090526,12
High Plains,20090602,23
High Plains,20090609,21
High Plains,20090616,18
High Plains,20090623,11
High Plains,20090630,10
High Plains,20090707,10
High Plains,20090714,9
High Plains,20090721,10
High Plains,20090728,11
High Plains,20090804,15
High Plains,20090811,17
High Plains,20090818,13
High Plains,20090825,14
High Plains,20090901,13
High Plains,20090908,19
High Plains,20090915,15
High Plains,20090922,12
High Plains,20090929,13
High Plains,20091006,12
High Plains,20091013,13
High Plains,20091020,11
High Plains,20091027,6
High Plains,20091103,6
High Plains,20091110,7
High Plains,20091117,7
High Plains,20091124,8
High Plains,20091201,8
High Plains,20091208,10
High Plains,20091215,11
High Plains,20091222,11
High Plains,20091229,12
High Plains,20100105,12
High Plains,20100112,16
High Plains,20100119,17
High Plains,20100126,16
High Plains,20100202,18
High Plains,20100209,17
High Plains,20100216,25
High Plains,20100223,25
High Plains,20100302,25
High Plains,20100309,27
High Plains,20100316,29
High Plains,20100323,29
High Plains,20100330,29
High Plains,20100406,29
High Plains,20100413,30
High Plains,20100420,30
High Plains,20100427,30
High Plains,20100504,30
High Plains,20100511,27
High Plains,20100518,23
High Plains,20100525,19
High Plains,20100601,19
High Plains,20100608,19
High Plains,20100615,18
High Plains,20100622,19
High Plains,20100629,19
High Plains,20100706,12
High Plains,20100713,12
High Plains,20100720,12
High Plains,20100727,12
High Plains,20100803,11
High Plains,20100810,11
High Plains,20100817,14
High Plains,20100824,14
High Plains,20100831,18
High Plains,20100907,18
High Plains,20100914,20
High Plains,20100921,28
High Plains,20100928,39
High Plains,20101005,39
High Plains,20101012,38
High Plains,20101019,41
High Plains,20101026,44
High Plains,20101102,44
High Plains,20101109,52
High Plains,20101116,50
High Plains,20101123,45
High Plains,20101130,49
High Plains,20101207,49
High Plains,20101214,55
High Plains,20101221,59
High Plains,20101228,62
High Plains,20110104,59
High Plains,20110111,61
High Plains,20110118,61
High Plains,20110125,61
High Plains,20110201,61
High Plains,20110208,59
High Plains,20110215,59
High Plains,20110222,59
High Plains,20110301,62
High Plains,20110308,61
High Plains,20110315,58
High Plains,20110322,64
High Plains,20110329,67
High Plains,20110405,71
High Plains,20110412,71
High Plains,20110419,66
High Plains,20110426,61
High Plains,20110503,66
High Plains,20110510,73
High Plains,20110517,68
High Plains,20110524,54
High Plains,20110531,51
High Plains,20110607,52
High Plains,20110614,53
High Plains,20110621,51
High Plains,20110628,56
High Plains,20110705,58
High Plains,20110712,54
High Plains,20110719,54
High Plains,20110726,57
High Plains,20110802,63
High Plains,20110809,61
High Plains,20110816,62
High Plains,20110823,62
High Plains,20110830,64
High Plains,20110906,67
High Plains,20110913,75
High Plains,20110920,68
High Plains,20110927,68
High Plains,20111004,78
High Plains,20111011,66
High Plains,20111018,68
High Plains,20111025,70
High Plains,20111101,79
High Plains,20111108,79
High Plains,20111115,80
High Plains,20111122,81
High Plains,20111129,76
High Plains,20111206,67
High Plains,20111213,66
High Plains,20111220,68
High Plains,20111227,66
High Plains,20120103,69
High Plains,20120110,75
High Plains,20120117,81
High Plains,20120124,91
High Plains,20120131,92
High Plains,20120207,83
High Plains,20120214,86
High Plains,20120221,86
High Plains,20120228,84
High Plains,20120306,81
High Plains,20120313,86
High Plains,20120320,84
High Plains,20120327,84
High Plains,20120403,96
High Plains,20120410,90
High Plains,20120417,87
High Plains,20120424,88
High Plains,20120501,79
High Plains,20120508,73
High Plains,20120515,75
High Plains,20120522,99
High Plains,20120529,107
High Plains,20120605,118
High Plains,20120612,134
High Plains,20120619,169
High Plains,20120626,210
High Plains,20120703,237
High Plains,20120710,256
High Plains,20120717,280
High Plains,20120724,308
High Plains,20120731,314
High Plains,20120807,319
High Plains,20120814,324
