Name,MapDate,DSCI
Alaska,20180619,6
Alaska,20180626,6
Alaska,20180703,6
Alaska,20180710,6
Alaska,20180717,9
Alaska,20180724,9
Alaska,20180731,8
Alaska,20180807,8
Alaska,20180814,8
Alaska,20180821,7
Alaska,20180828,7
Alaska,20180904,7
Alaska,20180911,7
Alaska,20180918,7
Alaska,20180925,9
Alaska,20181002,10
Alaska,20181009,10
Alaska,20181016,10
Alaska,20181023,10
Alaska,20181030,10
Alaska,20181106,10
Alaska,20181113,10
Alaska,20181120,10
Alaska,20181127,10
Alaska,20181204,10
Alaska,20181211,10
Alaska,20181218,10
Alaska,20181225,10
Alaska,20190101,9
Alaska,20190108,9
Alaska,20190115,9
Alaska,20190122,9
Alaska,20190129,9
Alaska,20190205,9
Alaska,20190212,9
Alaska,20190219,9
Alaska,20190226,12
Alaska,20190305,12
Alaska,20190312,12
Alaska,20190319,12
Alaska,20190326,12
Alaska,20190402,12
Alaska,20190409,12
Alaska,20190416,12
Alaska,20190423,12
Alaska,20190430,11
Alaska,20190507,9
Alaska,20190514,9
Alaska,20190521,11
Alaska,20190528,11
Alaska,20190604,11
Alaska,20190611,11
Alaska,20190618,18
Alaska,20190625,18
Alaska,20190702,18
Alaska,20190709,70
Alaska,20190716,96
Alaska,20190723,101
Alaska,20190730,101
Alaska,20190806,64
Alaska,20190813,45
Alaska,20190820,50
Alaska,20190827,59
Alaska,20190903,57
Alaska,20190910,55
Alaska,20190917,43
Alaska,20190924,32
Alaska,20191001,19
Alaska,20191008,19
Alaska,20191015,18
Alaska,20191022,18
Alaska,20191029,16
Alaska,20191105,14
Alaska,20191112,14
Alaska,20191119,10
Alaska,20191126,10
Alaska,20191203,8
Alaska,20191210,8
Alaska,20191217,8
Alaska,20191224,8
Alaska,20191231,8
Alaska,20200107,7
Alaska,20200114,7
Alaska,20200121,6
Alaska,20200128,10
Alaska,20200204,10
Alaska,20200211,10
Alaska,20200218,8
Alaska,20200225,6
Alaska,20200303,6
Alaska,20200310,0
Alaska,20200317,0
Alaska,20200324,0
Alaska,20200331,0
Alaska,20200407,0
Alaska,20200414,0
Alaska,20200421,0
Alaska,20200428,0
Alaska,20200505,0
Alaska,20200512,0
Alaska,20200519,0
Alaska,20200526,0
Alaska,20200602,0
Alaska,20200609,0
Alaska,20200616,0
Alaska,20200623,0
Alaska,20200630,0
Alaska,20200707,6
Alaska,20200714,5
Alaska,20200721,5
Alaska,20200728,5
Alaska,20200804,8
Alaska,20200811,8
Alaska,20200818,8
Alaska,20200825,12
Alaska,20200901,36
Alaska,20200908,33
Alaska,20200915,31
Alaska,20200922,31
Alaska,20200929,23
Alaska,20201006,15
Alaska,20201013,15
Alaska,20201020,15
Alaska,20201027,13
Alaska,20201103,12
Alaska,20201110,12
Alaska,20201117,11
Alaska,20201124,11
Alaska,20201201,11
Alaska,20201208,11
Alaska,20201215,11
Alaska,20201222,9
Alaska,20201229,9
Alaska,20210105,9
Alaska,20210112,16
Alaska,20210119,16
Alaska,20210126,16
Alaska,20210202,19
Alaska,20210209,19
Alaska,20210216,19
Alaska,20210223,19
Alaska,20210302,21
Alaska,20210309,35
Alaska,20210316,35
Alaska,20210323,35
Alaska,20210330,35
Alaska,20210406,29
Alaska,20210413,21
Alaska,20210420,21
Alaska,20210427,21
Alaska,20210504,21
Alaska,20210511,21
Alaska,20210518,21
Alaska,20210525,21
Alaska,20210601,21
Alaska,20210608,14
Alaska,20210615,14
Alaska,20210622,14
Alaska,20210629,14
Alaska,20210706,26
Alaska,20210713,26
Alaska,20210720,37
Alaska,20210727,34
Alaska,20210803,31
Alaska,20210810,25
Alaska,20210817,25
Alaska,20210824,13
Alaska,20210831,0
Alaska,20210907,0
Alaska,20210914,0
Alaska,20210921,0
Alaska,20210928,0
Alaska,20211005,0
Alaska,20211012,0
Alaska,20211019,0
Alaska,20211026,0
Alaska,20211102,0
Alaska,20211109,0
Alaska,20211116,0
Alaska,20211123,0
